user_id,created_at,text,label
1.38E+18,3/29/2021,"b""'Satgas COVID-19 mengaku kepatuhan masyarakat terhadap protokol kesehatan sempat menurun usai dilaksanakannya vaksin\xe2\x80\xa6 https://t.co/Rum3Sidrth'""",-1
1.38E+18,3/29/2021,"b""'RT @ProfesorZubairi: Hari ini saya akan bahas soal Long Covid yang sebutannya sudah diganti menjadi Post Acute Sequelae of SARS-CoV-2 (PASC\xe2\x80\xa6'""",1
1.38E+18,3/29/2021,"b""'@sshayeol agak aneh gk sih kalo alasannya korona'""",-1
1.38E+18,3/29/2021,"b""'RT @Beritasatu: Data Kematian Covid-19 sampai 29 Maret 2021 https://t.co/p9WJ3TDphD https://t.co/MxfoZlZlkm'""",-1
1.38E+18,3/29/2021,"b""'Terapkan Pendisiplinan Prokes Guna antisipasi Covid 19 Personil Sat Polair Polres Jembrana Lakukan Kurve Kebersihan\xe2\x80\xa6 https://t.co/6WeJWhcb2t'""",1
1.38E+18,3/29/2021,"b""'Perdana Menteri Tan Sri Muhyiddin Yassin memberi jaminan kerajaan akan berusaha membantu memulihkan kehidupan rakya\xe2\x80\xa6 https://t.co/SMYNrs4blW'""",1
1.38E+18,3/29/2021,"b""'17 Dosen USU Meninggal Terpapar Covid-19 - https://t.co/xwjva8JMYz'""",-1
1.38E+18,3/29/2021,"b""'RT @NarasiNewsroom: Jumlah kumulatif kasus konfirmasi positif COVID-19 di Indonesia kini sudah mencapai 1,5 juta, tepatnya 1.501.093 per Se\xe2\x80\xa6'""",-1
1.38E+18,3/29/2021,"b""'Secara bertahap, program vaksinasi untuk pegawai PLN akan terus dilakukan di seluruh Indonesia. PLN juga memastikan\xe2\x80\xa6 https://t.co/p91FV0b5vf'""",1
1.38E+18,3/29/2021,"b""'RT @1127x0205: yaudahlah poto sendirian juga gapapa kalo lo mau pake alesan korona gabole kumpul2 @weareoneEXO'""",-1
1.38E+18,3/29/2021,"b""'RT @muhammadiyah: Edaran PP Muhammadiyah Tentang Tuntunan Ibadah Ramadan 1442 H dalam Kondisi Darurat Covid-19 https://t.co/JIPyynVof9 #Muh\xe2\x80\xa6'""",-1
1.38E+18,3/29/2021,"b""'RT @f4izalhassan: Kes bawah 1,000 guys.  Adakah ini satu petandaaaa???????'""",-1
1.38E+18,3/29/2021,"b""'RT @TirtoID: Vaksinasi COVID-19 menggunakan AstraZeneca di Provinsi Sulawesi Utara dihentikan sementara setelah warga yang divaksin merasak\xe2\x80\xa6'""",-1
1.38E+18,3/29/2021,"b""'RT @f4izalhassan: Kes bawah 1,000 guys.  Adakah ini satu petandaaaa???????'""",-1
1.38E+18,3/29/2021,"b""'BKAG Tebingtinggi Jadi Barisan Terdepan Sosialisasikan Prokes\xc2\xa0Covid-19 https://t.co/kR7NzWLq9x'""",1
1.38E+18,3/30/2021,"b'\'RT @501Awani: ""Kecuaian dan kelalaian pihak berkenaan menyebabkan kes COVID-19 di Kelantan meningkat termasuk peningkatan kluster.""  #ICYMI\xe2\x80\xa6\''",-1
1.38E+18,3/29/2021,"b""'Bhabinkamtibmas Kel. Meteseh Polsek Tembalang Aiptu Saptiawan Riadi melaks PPKM Mikro dan ajak warga masy untuk tet\xe2\x80\xa6 https://t.co/KJ6phoqMXv'""",1
1.38E+18,3/29/2021,"b""'@nayanika07 Selamat malam. Railmin sarankan menggunakan pakaian lengan panjang ya kak dan juga celananya, agar lebi\xe2\x80\xa6 https://t.co/g6PDgDEbWA'""",1
1.38E+18,3/29/2021,"b""'RT @NS_Indah79: Wow! Jumlah Penyuntikan Vaksin Covid-19 Akan Capai 10 Juta  Berdasarkan dinamika terkini, Menkes memberikan catatan mengena\xe2\x80\xa6'""",1
1.38E+18,3/29/2021,"b""'maupun tempat isolasi spt hotel yg ditunjuk pemerintah serta Wisma Atlet  PLN akan terus berupaya memberikan pelaya\xe2\x80\xa6 https://t.co/XrvpLpWozF'""",1
1.38E+18,3/29/2021,"b""'Program yg sangat baik untuk meningkatkan kesedaran masyarakat mengenai pentingnya Vaksin COVID-19. Sesuai dengan t\xe2\x80\xa6 https://t.co/LzfctGsIz6'""",1
1.38E+18,3/29/2021,"b""'Mudik Lebaran 2021 Dilarang, Menkes Budi: Sabar Dulu sampai Pandemi COVID-19 Terkontrol https://t.co/k1KFXtWGVn'""",-1
1.38E+18,3/29/2021,"b""'Tugu Simbol Perlawanan Covid-19: Tugu Simbol Perlawanan Covid-19. Tugu ini dibuat sebagai simbol untuk perlawanan t\xe2\x80\xa6 https://t.co/DRyfMYKqkw'""",1
1.38E+18,3/29/2021,"b""'Betoll, Mudik meningkatkan resiko paparan virus covid-19 di kampung halaman #AyoVaksinTetap5M #Covid_19 #COVID19\xe2\x80\xa6 https://t.co/rVWUAqWElH'""",-1
1.38E+18,3/29/2021,"b""'Kusendro Ajak Masyarakat Lawan Covid-19 Dengan Mensukseskan Program Vaksinasi #SemangatMembangunRI #Lazada9Birthday https://t.co/yhURxFqWlT'""",1
1.38E+18,3/29/2021,"b""'Cegah covid-19 dengan Patuhi Protokol Kesehatan dimulai dari diri sendiri. . #polrestajogjakartabermasker\xe2\x80\xa6 https://t.co/1GzpSXOBcj'""",1
