,user_id,created_at,text,label,tweet_tokens,tweet_tokens_fdist,tweet_tokens_WSW,tweet_normalized,tweet_tokens_stemmed
0,1.38e+18,3/29/2021,bsatgas covid mengaku kepatuhan masyarakat terhadap protokol kesehatan sempat menurun usai dilaksanakannya vaksinxexxa,-1,"['bsatgas', 'covid', 'mengaku', 'kepatuhan', 'masyarakat', 'terhadap', 'protokol', 'kesehatan', 'sempat', 'menurun', 'usai', 'dilaksanakannya', 'vaksinxexxa']",<FreqDist with 13 samples and 13 outcomes>,"['bsatgas', 'covid', 'mengaku', 'kepatuhan', 'masyarakat', 'protokol', 'kesehatan', 'menurun', 'dilaksanakannya', 'vaksinxexxa']","['satgas', 'covid', 'mengaku', 'kepatuhan', 'masyarakat', 'protokol', 'kesehatan', 'menurun', 'dilaksanakannya', 'vaksin']","['satgas', 'covid', 'aku', 'patuh', 'masyarakat', 'protokol', 'sehat', 'turun', 'laksana', 'vaksin']"
1,1.38e+18,3/29/2021,brt hari ini saya akan bahas soal long covid yang sebutannya sudah diganti menjadi post acute sequelae of sarscov pascxexxa,1,"['brt', 'hari', 'ini', 'saya', 'akan', 'bahas', 'soal', 'long', 'covid', 'yang', 'sebutannya', 'sudah', 'diganti', 'menjadi', 'post', 'acute', 'sequelae', 'of', 'sarscov', 'pascxexxa']",<FreqDist with 20 samples and 20 outcomes>,"['bahas', 'long', 'covid', 'sebutannya', 'diganti', 'post', 'acute', 'sequelae', 'sarscov', 'pascxexxa']","['bahas', 'long', 'covid', 'sebutannya', 'diganti', 'post', 'acute', 'sequelae', 'sarscov', 'pascxexxa']","['bahas', 'long', 'covid', 'sebut', 'ganti', 'post', 'acute', 'sequelae', 'sarscov', 'pascxexxa']"
2,1.38e+18,3/29/2021, agak aneh gk sih kalo alasannya korona,-1,"['agak', 'aneh', 'gk', 'sih', 'kalo', 'alasannya', 'korona']",<FreqDist with 7 samples and 7 outcomes>,"['aneh', 'alasannya', 'korona']","['aneh', 'alasannya', 'korona']","['aneh', 'alas', 'korona']"
3,1.38e+18,3/29/2021,brt data kematian covid sampai maret,-1,"['brt', 'data', 'kematian', 'covid', 'sampai', 'maret']",<FreqDist with 6 samples and 6 outcomes>,"['data', 'kematian', 'covid', 'maret']","['data', 'kematian', 'covid', 'maret']","['data', 'mati', 'covid', 'maret']"
4,1.38e+18,3/29/2021,bterapkan pendisiplinan prokes guna antisipasi covid personil sat polair polres jembrana lakukan kurve kebersihanxexxa,1,"['bterapkan', 'pendisiplinan', 'prokes', 'guna', 'antisipasi', 'covid', 'personil', 'sat', 'polair', 'polres', 'jembrana', 'lakukan', 'kurve', 'kebersihanxexxa']",<FreqDist with 14 samples and 14 outcomes>,"['bterapkan', 'pendisiplinan', 'prokes', 'antisipasi', 'covid', 'personil', 'sat', 'polair', 'polres', 'jembrana', 'lakukan', 'kurve', 'kebersihanxexxa']","['terapkan', 'pendisiplinan', 'prokes', 'antisipasi', 'covid', 'personil', 'sat', 'polair', 'polres', 'jembrana', 'lakukan', 'kurve', 'kebersihan']","['terap', 'disiplin', 'prokes', 'antisipasi', 'covid', 'personil', 'sat', 'polair', 'polres', 'jembrana', 'laku', 'kurve', 'bersih']"
5,1.38e+18,3/29/2021,bperdana menteri tan sri muhyiddin yassin memberi jaminan kerajaan akan berusaha membantu memulihkan kehidupan rakyaxexxa,1,"['bperdana', 'menteri', 'tan', 'sri', 'muhyiddin', 'yassin', 'memberi', 'jaminan', 'kerajaan', 'akan', 'berusaha', 'membantu', 'memulihkan', 'kehidupan', 'rakyaxexxa']",<FreqDist with 15 samples and 15 outcomes>,"['bperdana', 'menteri', 'tan', 'sri', 'muhyiddin', 'yassin', 'jaminan', 'kerajaan', 'berusaha', 'membantu', 'memulihkan', 'kehidupan', 'rakyaxexxa']","['perdana', 'menteri', 'tan', 'sri', 'muhyiddin', 'yassin', 'jaminan', 'kerajaan', 'berusaha', 'membantu', 'memulihkan', 'kehidupan', 'rakyaxexxa']","['perdana', 'menteri', 'tan', 'sri', 'muhyiddin', 'yassin', 'jamin', 'raja', 'usaha', 'bantu', 'pulih', 'hidup', 'rakyaxexxa']"
6,1.38e+18,3/29/2021, dosen usu meninggal terpapar covid,-1,"['dosen', 'usu', 'meninggal', 'terpapar', 'covid']",<FreqDist with 5 samples and 5 outcomes>,"['dosen', 'usu', 'meninggal', 'terpapar', 'covid']","['dosen', 'usu', 'meninggal', 'terpapar', 'covid']","['dosen', 'usu', 'tinggal', 'papar', 'covid']"
7,1.38e+18,3/29/2021,brt jumlah kumulatif kasus konfirmasi positif covid di indonesia kini sudah mencapai juta tepatnya per sexexxa,-1,"['brt', 'jumlah', 'kumulatif', 'kasus', 'konfirmasi', 'positif', 'covid', 'di', 'indonesia', 'kini', 'sudah', 'mencapai', 'juta', 'tepatnya', 'per', 'sexexxa']",<FreqDist with 16 samples and 16 outcomes>,"['kumulatif', 'konfirmasi', 'positif', 'covid', 'indonesia', 'mencapai', 'juta', 'tepatnya', 'sexexxa']","['kumulatif', 'konfirmasi', 'positif', 'covid', 'indonesia', 'mencapai', 'juta', 'tepatnya', 'sexexxa']","['kumulatif', 'konfirmasi', 'positif', 'covid', 'indonesia', 'capai', 'juta', 'tepat', 'sexexxa']"
8,1.38e+18,3/29/2021,bsecara bertahap program vaksinasi untuk pegawai pln akan terus dilakukan di seluruh indonesia pln juga memastikanxexxa,1,"['bsecara', 'bertahap', 'program', 'vaksinasi', 'untuk', 'pegawai', 'pln', 'akan', 'terus', 'dilakukan', 'di', 'seluruh', 'indonesia', 'pln', 'juga', 'memastikanxexxa']",<FreqDist with 15 samples and 16 outcomes>,"['bsecara', 'bertahap', 'program', 'vaksinasi', 'pegawai', 'pln', 'indonesia', 'pln', 'memastikanxexxa']","['secara', 'bertahap', 'program', 'vaksinasi', 'pegawai', 'pln', 'indonesia', 'pln', 'memastikan']","['cara', 'tahap', 'program', 'vaksinasi', 'pegawai', 'pln', 'indonesia', 'pln', 'pasti']"
9,1.38e+18,3/29/2021,brt yaudahlah poto sendirian juga gapapa kalo lo mau pake alesan korona gabole kumpul,-1,"['brt', 'yaudahlah', 'poto', 'sendirian', 'juga', 'gapapa', 'kalo', 'lo', 'mau', 'pake', 'alesan', 'korona', 'gabole', 'kumpul']",<FreqDist with 14 samples and 14 outcomes>,"['yaudahlah', 'poto', 'gapapa', 'pake', 'alesan', 'korona', 'gabole', 'kumpul']","['yaudahlah', 'poto', 'gapapa', 'pake', 'alesan', 'korona', 'gabole', 'kumpul']","['yaudahlah', 'poto', 'gapapa', 'pake', 'alesan', 'korona', 'gabole', 'kumpul']"
